Company,Linkedin Page,Org Category,Org Website,Text Content
CREATIVE TECHNOLOGY LTD,https://www.linkedin.com/company/creative-technology-ltd/about,Computers and Electronics Manufacturing,http://www.creative.com,"Creative is the worldwide leader in digital entertainment products. Founded in Singapore in 1981, Creative started with the vision that multimedia would revolutionise the way people interact with their PCs.

Famous for its Sound Blaster sound cards and for launching the multimedia revolution, Creative is now driving digital entertainment with cutting-edge audio solutions, premium wireless speakers, high performance earphone products and portable media devices."
CSE GLOBAL LIMITED,https://www.linkedin.com/company/cse-global-ltd/about,Automation Machinery Manufacturing,http://www.cse.com.sg,"Systems Integration of industrial automation,  control, engineering and telecomunication projects in the oil and gas, power and utlities, transportation, mining, environmental and  healthcare industries. It operates globally with headquarters in Singapore and major subsidiaries in USA,UK, Australia and Europe."
DELFI LIMITED,https://www.linkedin.com/company/delfilimited/about,Manufacturing,http://www.delfilimited.com,"Headquartered in Singapore and listed on the Mainboard of the SGX-ST since November 2004, Delfi Limited markets and distributes its Own Brand of chocolate confectionery products in its core markets of Indonesia, Philippines, Singapore and Malaysia. In addition, our chocolate confectionery products are sold in over 10 other countries including Thailand, Brunei, India, South Korea and Vietnam.

The Group has an established portfolio of chocolate confectionery brand names in Indonesia including ""SilverQueen""​ and ""Ceres""​ which were introduced in the 1950's and ""Delfi""​ in the 1980's. In the Philippines, its flagship brands are ""Goya""​ and ""KnickKnacks""​. With the Group's longstanding presence and legacy in these markets, our chocolates have delighted many generations of Indonesians and Filipinos, who grew up eating them.

In addition to a well established portfolio of chocolate confectionery brands and an extensive sales and distribution network in its core markets, the Group's confectionery business is supported by two manufacturing facilities, one in Indonesia and the other, in the Philippines. The Group also distributes a well known portfolio of Agency Brands."
ENGRO CORPORATION LIMITED,https://www.linkedin.com/company/engro-corporation-limited/about,Wholesale Building Materials,http://www.engro-global.com,"EnGro is a leading manufacturer of superior building materials with more than 45 years of operational experience shaping various parts of Asia. EnGro aims to be a trusted, knowledgeable & reliable supplier of high-performance microfine cement. EnGro’s products are quality certified & produced using a state-of-the-art manufacturing process & selected materials to achieve tailor-made solutions."
F J BENJAMIN HOLDINGS LTD,https://www.linkedin.com/company/f-j-benjamin-holdings-ltd/about,117684,http://www.fjbenjamin.com,
FAR EAST GROUP LIMITED,https://www.linkedin.com/company/far-east-group-limited/about,Wholesale Import and Export,http://www.fareastgroup.com.sg/home.html,"Founded in 1953 as one of the pioneers in the refrigeration and air-conditioning business in Singapore, Far East Group Limited (formerly known as Far East Refrigeration (Pte.) Limited) is a comprehensive provider of refrigeration and air-conditioning systems and products in the heating, ventilation, air-conditioning and refrigeration (""HVAC&R""​) industry. Our Directors believe that we are one of the leading regional distributors of commercial and light industrial refrigeration systems and products in the South-east Asia region.

Our Group has a broad customer base of more than 1,000 active customers, including distributors, dealers as well as refrigeration and air-conditioning contractors who use our products and services to provide comprehensive refrigeration and air-conditioning systems to endusers, such as supermarkets, cold store distribution centres, food processing and catering facilities, hotels, hospitals, food and beverage establishments, convenient stores, petrol stations, marine vessels, oil rigs and barges.

Besides sourcing and distributing agency products, our Group also manufactures our in-house ""Eden""​ brand of heat exchangers and condensing units. In particular, our products are widely recognised and used by well-known international and regional retail chains such as Carrefour, Metro, Tesco, Giant, Cold Storage and NTUC FairPrice as well as Resorts World Sentosa and Marina Bay Sands.

Headquartered in Singapore, our Group has subsidiaries in Singapore, Malaysia and Hong Kong as well as representative offices in Vietnam and Indonesia. We also have approximately 20 distributors and dealers in countries including Malaysia, Thailand, the Philippines, Myanmar, Mauritius, Vietnam, Sri Lanka and Indonesia.

In line with our growth, our Group's revenue rose from approximately S$29.2 million in FY2008 to approximately S$32.6 million in FY2010, while net profit rose from approximately S$1.0 million in FY2008 to approximately S$4.6 million in FY2010."
FAR EAST ORCHARD LIMITED,https://www.linkedin.com/company/far-east-orchard-ltd/about,Real Estate,http://www.fareastorchard.com.sg/,"Far East Orchard Limited is a real estate company with a lodging platform that aims to achieve sustainable and recurring income through a diversified and balanced portfolio. It is a member of Far East Organization, Singapore’s largest private property developer.

Far East Orchard has developed residential, commercial, hospitality and purpose-built student accommodation (PBSA) properties in Australia, Japan, Malaysia, Singapore and the United Kingdom (UK).

Redefining itself through a strategic transformation of the business in 2012, Far East Orchard expanded into the complementary businesses of hospitality management and healthcare real estate. In 2015, it diversified its real estate portfolio to include PBSA properties in the UK.

Through its hospitality partnerships with The Straits Trading Company and Toga Group, Far East Orchard’s hospitality arm — Far East Hospitality — now owns more than 10 hospitality assets and manages close to 100 properties with over 16,500 rooms across Australia, Austria, Denmark, Germany, Hungary, Japan, Malaysia, New Zealand, Singapore and Switzerland. Its stable of 10 unique and complementary hospitality brands are Oasia, Quincy, Rendezvous, Village, Far East Collection, A by Adina, Adina Hotels, Vibe Hotels, Travelodge Hotels and Collection by TFE Hotels.

Far East Orchard's UK PBSA portfolio comprises over 3,600 beds in Brighton, Bristol, Leeds, Liverpool, Newcastle upon Tyne, Sheffield and Southampton. In 2022, Far East Orchard acquired a PBSA property, a 690-bed development site at Bristol. Upon completing the development site at Bristol, it would bring Far East Orchard's PBSA portfolio to approximately 4,400 beds across 14 properties in the UK."
FU YU CORPORATION LIMITED,https://www.linkedin.com/company/fu-yu-corporation/about,Manufacturing,https://www.fuyucorp.com/,"Fu Yu Corporation (also known as Fu Yu, FYC, or the Group) provides vertically-integrated services for the manufacture of precision plastic components and the fabrication of precision moulds and dies.

Since its inception in 1978, Fu Yu has grown to become one of the largest manufacturers of high precision plastic parts and moulds in Asia. Today, the Group has established a strong presence in the region with manufacturing facilities located in Singapore, Malaysia, and China.

Leveraging over 45 years of operating history, Fu Yu has built a broad and diversified customer base of blue-chip companies in the printing and imaging, networking and communications, consumer, medical, automotive, and power tool sectors.

Our History:

FuYu started as a small tooling design, fabrication, and fitting shop and has since become a market leader providing end-to-end solutions from product development and incubation to tool design, fabrication, and fitting, plastics injection moulding, and product integration and assembly services.

In 2006, we added metal injection moulding capabilities as a synergistic capability for OEMs that needed enhanced precision engineering capabilities as the market moved towards the need for demanding component performance.

While Singapore was a natural base for our headquarters given the strong ecosystem for precision engineering companies, Fu Yu has reinforced its regional manufacturing presence to support our strategic customers by adding manufacturing sites in Malaysia in 1993, and China in 1995.

Our Capabilities:

1. Tool Design and Fabrication
2. Precision Injection Moulding
3. Metal Injection Moulding
4. Secondary Processes
5. Product Assembly"
GREAT EASTERN HOLDINGS LIMITED,https://www.linkedin.com/company/great-eastern-group/about,Insurance,http://www.greateasternlife.com,"Established in 1908, Great Eastern places customers at the heart of everything we do. Our legacy extends beyond our products and services to our culture, which is defined by our core values and how we work. As champions of Integrity, Initiative and Involvement, our core values act as a compass, guiding and inspiring us to embrace the behaviours associated with each value, upholding our promise to our customers - to continue doing our best for them in a sustainable manner. 

We embrace inclusivity, giving all employees an equal opportunity to shine and play their role in exploring possibilities to deliver innovative insurance solutions. 

Since 2018, Great Eastern has been a signatory to the United Nations (UN) Principles of Sustainable Insurance. Our sustainability approach around environmental, social, and governance (ESG) considerations play a key role in every business decision we make. We are committed to being a sustainability-driven company to achieve a low-carbon economy by managing the environmental footprint of our operations and incorporating ESG considerations in our investment portfolios; improving people’s lives by actively helping customers live healthier, better and longer; and drive responsible business practices through material ESG risk management. 

Please note that our career opportunities are only posted on our Career Website (https://gecareers.taleo.net/careersection/ex_singapore/jobsearch.ftl?lang=en&portal=8116760849) and on our authorised job platforms, such as, LinkedIn, JobStreet and eFinancialCareers. We do not initiate any unsolicited calls and all official emails from Great Eastern will be sent from email addresses ending with “@greateasternlife.com or @greateasterngeneral.com”. Should you receive any communications outside from these channels, please do not provide any personal information and do reach out to us at greatcareers@greateasternlife.com for us to assist you and confirm the legitimacy of the content."
HEETON HOLDINGS LIMITED,https://www.linkedin.com/company/heeton-holdings-limited/about,Real Estate,https://www.heeton.com/,
HIAP SENG ENGINEERING LTD,https://www.linkedin.com/company/hiap-seng-engineering-ltd/about,Construction,http://www.hiapseng.com,"HIAP SENG ENGINEERING LTD is an Oil and Energy company located in 28 Tuas Crescent, Singapore, Singapore."
HOE LEONG CORPORATION LTD,https://www.linkedin.com/company/hoe-leong-corporation-ltd/about,"Agriculture, Construction, Mining Machinery Manufacturing",https://hoeleong.com/,"Hoe Leong Corporation Ltd is a Singaporean holding company that offers and rebuilds heavy equipment undercarriages for various industries, such as mining, forestry, construction, and agriculture.

We are listed on the Singapore Stock Exchange. Our brands, KBJ, MIZU,  Trackspare and Trackex, provide OEM quality aftermarket parts, components and track frame rebuild services.

We are a manufacturer, with our main manufacturing facility in South Korea and another one in China, which enable us to control the cost and quality of our products.

We have a global customer base, with Australia, North America and Asia being our top markets."
HONG LEONG FINANCE LIMITED,https://www.linkedin.com/company/hlfinance/about,Financial Services,,"Hong Leong Finance, with more than 60 years of sterling track record, is the financial services arm of the Hong Leong Group Singapore.


Today, Hong Leong Finance is Singapore's largest finance company, with a network of 28 branches and 12 SME Centres islandwide."
HOTEL GRAND CENTRAL LIMITED,https://www.linkedin.com/company/grand-hotel-central-barcelona/about,Hospitality,,"Located in the heart of the Gothic Quarter, the Grand Hotel Central is a part of Barcelona's past and present, offering a unique perspective to travellers who wish to experience the city in the most authentic way.

This 5-star hotel in Barcelona evokes the history of the city, but also the modernity and forward-thinking of its origins when the building was constructed in the 20th century. Its interiors maintain a timeless essence that is characterised by an urban atmosphere that is welcoming to all visitors.

EXPERIENCE THE EXTRAORDINARY
More than just a place to sleep, the Grand Hotel Central offers a range of special experiences designed for guests to enjoy a memorable stay of both relaxation and pleasure.
 
Our Restaurant offers an authentic Spanish-style dining experience with small “platillos” to be shared, as well as a selection of over 150 local and national wines. An excellent culinary proposal that will make you feel like a local.
 
The rooftop at Grand Hotel Central is the trendiest place in the historic centre of Barcelona, a rooftop bar with Balinese beds where visitors can enjoy a cocktail with views of the Barcelona skyline or relax by the outdoor infinity pool. Watch the sunset here after a long day or start the day with a yoga session among the city's rooftops.

As well as our leisure facilities, the hotel prioritises guests' wellbeing with a range of spa and wellness treatments, including both sauna and hammam to purify the skin and eliminate toxins. The ideal place for those who want to pamper themselves in a peaceful environment. You'll also find a fitness centre with machines and gym equipment, so you can keep up your exercise routine even when you're on the move."
HOTEL PROPERTIES LIMITED,https://www.linkedin.com/company/summit-hotel-properties-inc-/about,Hospitality,http://www.shpreit.com,We are a leading publicly-traded lodging real estate investment trust focused on owning premium branded hotels.
HOTEL ROYAL LIMITED,https://www.linkedin.com/company/hotel-royal-queens/about,Hospitality,http://royalqueens.com.sg,
IFS CAPITAL LIMITED,https://www.linkedin.com/company/ifs-capital-limited/about,Financial Services,http://www.ifscapital.com.sg,"IFS Capital Limited (“IFS”) was incorporated in Singapore in 1987 and has been listed on the Mainboard of the Singapore Exchange since July 1993. It has regional offices in Singapore, Thailand, Malaysia and Indonesia. 

As a regional Group, it provides commercial finance services like factoring, hire-purchase/leasing, loans, government-assisted schemes and trade/export finance to small and medium enterprises (“SMEs”). The Group also provides bonds and guarantees, credit insurance and general insurance through its wholly owned subsidiary, ECICS Limited.

IFS Capital Group is part of the PhillipCapital network of companies, an integrated Asian financial house with a global presence that provides a full range of solutions covering individuals, family offices, and corporate and institutional clients."
INTRACO LIMITED,https://www.linkedin.com/company/intraco-consulting/about,Business Consulting and Services,https://www.intraco-consulting.com/,"Grâce à nos consultants et à notre large réseau de spécialistes, nous avons développé une expertise de pointe dans une large gamme de services incluant des conseils en stratégie, en management, en accompagnement aux normes de Qualité-Sécurité-Environnement. D’une manière très pragmatique, nous aidons nos clients à développer et à mettre en œuvre des solutions sur-mesure répondant à leurs attentes. 

Les équipes d’Intraco Consulting sont rôdées à la gestion de projets complexes et apportent une attention particulière au changement.

Intraco Consulting est implanté en Belgique et au Grand-Duché du Luxembourg mais est également actif à l’international.

Que ce soit pour des grandes sociétés ou des PME, Intraco Consulting s’adapte à la structure de ses clients dans le but de les satisfaire en créant une offre ""one stop shop"".

Intraco Consulting est membre de l'UPIC et de Transeo"
ISETAN (SINGAPORE) LIMITED,https://www.linkedin.com/company/isetan-singapore/about,Retail,http://www.isetan.com.sg,"Isetan Singapore was incorporated in 1972 to cater to a wide spectrum of customers. Currently, our Flagship Store Isetan Scotts and Isetan Wisma Atria Investment Property are in the heart of the Orchard Road shopping belt, while our two other stores are in the suburbs.
Isetan Scotts located at Shaw House completed a major renovation in 2020 and now features new Food and Beverage concepts to give added excitement and variety to the store. The basement also houses a premium Supermarket with emphasis on high quality Japanese products and offering Japanese lifestyle concepts to our customers."
JACKSPEED CORPORATION LIMITED,https://www.linkedin.com/company/jackspeed-singapore-pte-ltd/about,Motor Vehicle Manufacturing,http://jackspeed.com/,"Jackspeed is renowned internationally for quality automotive and aviation products. Its commitment to customer satisfaction is the cornerstone of its brand premium and forms the foundation of its continued progress in the highly competitive market.

Capitalising on its technical competency, fine craftsmanship and keen attention to details, Jackspeed is a global leader in the niche market for leather seats and vehicle accessories customisation.

Through its avant-garde designs, state-of-the-art technology and wide range of materials available (including genuine leather, vinyl and fabric that meet OEM specifications), Jackspeed is capable of developing unique vehicle seat covers and accessories that are personalised according to each of its customers’ needs."
KHONG GUAN LIMITED,https://www.linkedin.com/company/khong-guan-group-pte-ltd/about,Public Relations and Communications Services,http://www.khongguan.com.sg/,
KODA LTD,https://www.linkedin.com/company/koda-ltd/about,,http://kodaonline.com,
KS ENERGY LIMITED,https://www.linkedin.com/company/ksenergyservicesllc/about,Construction,http://WWW.KSENERGYSERVICES.COM,"Every day, we install the pipes and cables that power our lives—from lighting offices to heating homes. While this paints a pretty picture, our work is just pretty tough. We dig. We cut. We build.

Every time we climb into a protected hole, we’re taking a risk. The smallest mistake may cause an accident. This work demands safety, perfection, and efficiency. It’s Mission: Impossible. At KS, we live for it.

We build energy infrastructure that you depend on.

In this industry, everyone is good. WE ARE BETTER!”"
LEY CHOON GROUP HOLDINGS LIMITED,https://www.linkedin.com/company/leychoon/about,Construction,http://www.leychoon.com,"Ley Choon Group Holdings Limited (“Ley Choon” or the “Group”), which commenced operations as Ley Choon Constructions and Engineering Pte Ltd in 1990, is an established one-stop Underground Utilities Infrastructure service provider based in Singapore. Our core businesses comprise i) Pipes and Roads Segment, consisting of Underground Utilities Infrastructure construction and maintenance, sewer pipeline rehabilitation, road and airfield construction and maintenance; and ii) Construction Materials Segment, comprising asphalt premix production and construction waste recycling. Our customers include government bodies such as Public Utilities Board, Land Transport Authority, Housing and Development Board, Urban Redevelopment Authority, Building & Construction Authority (“BCA”), Jurong Town Corporation and companies such as SingTel, Changi Airport Group and PowerGas. We are a BCA L6 registered contractor (the highest grade) which allows us to tender for Singapore public sector contracts of unlimited value in the categories of cable/pipe-laying and road reinstatement, pipes, and other basic construction materials and we are also an A1 registered contractor in the category of civil engineering (CW02)."
MANUFACTURING INTEGRATION TECHNOLOGY LTD,https://www.linkedin.com/company/manufacturing-integration-technology-ltd/about,"Appliances, Electrical, and Electronics Manufacturing",http://www.mit.com.sg,"Incorporated in 1992 and listed on the mainboard of the Singapore Exchange in 1999, MIT is a leading provider of integrated automation solutions to the semiconductor and solar industries worldwide. In our semiconductor business, the Company primarily designs, develops and distributes a wide range of automated equipment that caters to the front and back-end processes of IC assembly. Our flagship range of high-end semiconductor equipment includes wafer level die marking and sorting systems, vision inspection, laser marking and tape and reel systems.

The Company also provides engineering and maintenance services to customers in the form of upgrading and retrofitting of existing equipment to meet new production and process requirements. MIT is currently also the exclusive distributor of Rofin Sinar laser marking systems in Singapore and Malaysia. MIT services a broad spectrum of customers such as Micron, ST Microelectronics, ASE, Infineon Technologies, UTAC, EEMS, STATSChipPac, etc - all of which are renown global players in their respective semiconductor space located throughout Asia, Europe and the US.

MIT's solar business unit designs and produces high-end solar equipment such as laser scribers for the Photovoltaic (PV) Industry. 

The Group's local subsidiaries include i.PAC Manufacturing Pte Ltd (a contract equipment manufacturer of semiconductors, storage media, displays, aerospace, solar and other high tech capital equipment; AMS Biomedical Pte Ltd (a contract manufacturer of medical equipment and devices for the medtech industry), and Generic Power Pte Ltd (specializing in advanced vision inspection systems). 

The Group's China facility at MIT (Shanghai) offers precision engineering/machining and contract manufacturing assembly services supporting MIT's business units and supplying the same to various industries within and outside of China."
MATEX INTERNATIONAL LIMITED,https://www.linkedin.com/company/matex-international-limited/about,Chemical Manufacturing,http://matex.com.sg,"Listed with Singapore Exchange, Matex is a leading global clean COLOR SCIENCE technologist, material and SPECIALTY CHEMICAL company committed to innovation, world-class quality standards, high service levels technical support, cost-efficiency and sustainability.

As a solution provider, the Group offers a comprehensive range of colorants, auxiliaries and services with a reliable and long term commitment to develop new product solutions, application development, process technologies and services which delivers enhanced sustainability performance, introduces significant cost savings, and reduces raw material cost.

Established and headquartered in Singapore since 1989, Matex has its global sales presence, offices, centers of excellence, agencies and production plants in over 40 countries. With more than 500 employees worldwide and armed with a collaborative culture and active engagement of people, this forms the driving force to achieve success in culture and commitment to shape the businesses of today and the world of tomorrow.

Encouraged by its credible successes, Matex remains grounded and adheres to the values of clean ethical business practices, technology upgrades, consistent learning, selfless environmental concerns, and all this while keeping the customer and his needs at the centre of all that we do.

Our never-ending exploration and proactiveness for innovation within our interest areas makes us an ideal one stop strategic partner of choice."
MEGACHEM LIMITED,https://www.linkedin.com/company/megachemlimited/about,Wholesale Chemical and Allied Products,https://www.megachem.com/home.html,"The MegaChem Brand is inspired by our unwavering commitment to quality, driving us to continually exceed the expectations of our customers and leading us on the road to Excellence.

At MegaChem, it’s clear. Everyone is focused on Excellence. We recognise that a long-lasting, rewarding relationship is built on trust. And that this trust is engendered by quality products, solutions and services. This is why we have made premier products, solutions and services our hallmark. We work tirelessly to bring our customers the best products and solutions and delivering impeccable service level. 

These values inspire us each day to realise that the formula for success for you and for us is simply EXCELLENCE."
