Company,Org Category,Org Website,Text Content
SERIAL-SYSTEM-LTD,Semiconductor Manufacturing,http://www.serialsystem.com,"Serial System Ltd started operations in 1988 as a Distributor of electronics components in Singapore. The Company was incorporated as a private limited entity in April 1992 and listed in SESDAQ in 1997. Serial System Ltd became a Singapore Exchange Securities Trading Limited (SGX-ST) mainboard listed company on 10 July 2000. The Group has network of oversea offices, operations and representations in China, Hong Kong, South Korea, Taiwan, India, Malaysia, Thailand, Philippines and Vietnam.

The Group is a leading semiconductors/ components distributor in the Asia Pacific region, offering design supports, technology solutions and services, materials planning and inventory management. 

The Group distributes a full range of active and passive components to original equipment manufacturers and sub-contractors in various industries and has forged strong business and technologies links with its customers. Customers are provided with innovative value-added services such as turnkey design, warehousing and logistics support. 
 
The Group's suppliers include well-established names such as Texas Instruments, ON Semiconductor, Telegent System HK Ltd, Analog Devices Inc, NXP Semiconductors Singapore, Silicon Storage Technology Ltd, Avago Technologies International, Tyco Electronics, Hitachi Global Storage Technologies, Micron Semiconductor Asia and Mars."
SEROJA-INVESTMENTS-LIMITED,,,
SHANAYA-LIMITED,,,
SIA-ENGINEERING-COMPANY-LIMITED,,,
SING-INVESTMENTS-&-FINANCE-LIMITED,,,
SINGAPORE-AIRLINES-LIMITED,,,
SINGAPORE-POST-LIMITED,,,
SINGAPORE-TELECOMMUNICATIONS-LIMITED,,,
SITRA-HOLDINGS-(INTERNATIONAL)-LIMITED,,,
SPINDEX-INDUSTRIES-LIMITED,Industrial Machinery Manufacturing,http://www.spindex.com.sg,"SPINDEX is a highly integrated solution provider of precision-machined components and assemblies with strategic manufacturing location in Singapore, Malaysia, China and Vietnam.

We serve diverse market sectors consisting of MNC customers in imaging & printing, domestic appliances, consumer electronics, data storage, machinery, automotive systems and telecommunications.

Together with our state-of-the-art manufacturing capabilities, advanced quality and environmental management systems, excellent information system, strategic locations and dedicated people imbued with a culture of continuous improvement, we can offer you the best-fit solutions and be an integral part of your supply chain."
STARHUB-LTD,,,
SUNRISE-SHARES-HOLDINGS-LTD,,,
TAI-SIN-ELECTRIC-LIMITED,,,
TAT-SENG-PACKAGING-GROUP-LTD,"Appliances, Electrical, and Electronics Manufacturing",http://www.tatseng-packaging.com,
TELECHOICE-INTERNATIONAL-LIMITED,,,
TT-INTERNATIONAL-LIMITED,,,
UNITED-OVERSEAS-INSURANCE-LIMITED,Insurance,https://www.uoi.com.sg/,"Founded in 1971, United Overseas Insurance Limited (UOI) is a general insurance company, with a wide range of classes across both consumer and commercial insurance. We stand by our values of honourable, enterprising, united and committed, through delivering our clients trusted solutions and being there when they need us most.

UOI is a Member of the UOB Group and is listed on the Singapore Stock Exchange."
VENTURE-CORPORATION-LIMITED,,,
VICOM-LTD,Motor Vehicle Manufacturing,https://www.vicom.com.sg/,"VICOM Ltd is Singapore's leading provider in inspection and technical testing services. A pioneer in vehicle inspection, we were incorporated in 1981 and publicly listed on Singapore's stock exchange in 1995. Since then, we have greatly expanded to provide a comprehensive range of inspection and testing services in fields including mechanical, biochemical, civil engineering and non-destructive testing, in both Singapore and the region. VICOM constantly stays on the cutting edge of testing and inspection technology. Since its inception, VICOM has been winning prestigious awards and accreditation for our service excellence and business practices.

The VICOM Group is a subsidiary of ComfortDelGro Corporation Limited , the world's 2nd largest transport company. It comprises VICOM and JIC Inspection Centres and SETSCO Services. These centres are all located at convenient locations throughout Singapore.

Recognised for our service quality and efficient business practices, our expertise has also extended abroad to countries in Asia and the Middle East. As early as 1985, we were consultant/adviser to OMACO of Saudi Arabia and helped set up inspection centres there. In 1995, we offered consultancy services to MCM (Malaysia) and also Bangladesh. In 2003, we were jointly involved with ATB Services in the vehicle inspection project for Land Transport Department of Brunei.

We are committed to service quality and continually strive to provide our customers and shareholders with consistent results. We constantly innovate, taking advantage of cutting edge technology to improve and expand our services. We are committed to being a good employer and corporate citizen, endeavouring to nurture talent within the organisation and to protect the environment. In all things, we do our best at preserving the harmonious relationships we enjoy with our customers, our shareholders, business partners and the trade union."
